timestamp,datetime,Acquisition_Flag,Active,Beam,Experiment_Message,IP,LumiScan_Status,Nominal_Separation,Nominal_Separation_Plane,Plane,Read_Nominal_Displacement_B1_sepPlane,Read_Nominal_Displacement_B1_xingPlane,Read_Nominal_Displacement_B2_sepPlane,Read_Nominal_Displacement_B2_xingPlane,Scan_Name,Set_Nominal_Displacement_B1_sepPlane,Set_Nominal_Displacement_B1_xingPlane,Set_Nominal_Displacement_B2_sepPlane,Set_Nominal_Displacement_B2_xingPlane,Step,Step_Progress
1694094903.406788,2023-09-07 13:55:03.406788096+00:00,0.0,1.0,3.0,EmittanceScan,32.0,TRIMMING,-0.385171861636732,CROSSING,MIXED,0.020530774,-0.057834845,-0.020530774,0.057834845,EmittanceScan,0.0,-0.192585930818366,-0.0,0.192585930818366,0.0,0.0
1694094908.408063,2023-09-07 13:55:08.408062976+00:00,0.0,1.0,3.0,EmittanceScan,32.0,TRIMMING,-0.385171861636732,CROSSING,MIXED,0.020530774,-0.057834845,-0.020530774,0.057834845,EmittanceScan,0.0,-0.192585930818366,-0.0,0.192585930818366,0.0,0.0
1694094952.171445,2023-09-07 13:55:52.171444992+00:00,1.0,1.0,3.0,EmittanceScan,32.0,ACQUIRING,-0.385171861636732,CROSSING,MIXED,0.020530774,-0.250420776,-0.020530774,0.250420776,EmittanceScan,0.0,-0.192585930818366,-0.0,0.192585930818366,1.0,10.0
1694094952.172701,2023-09-07 13:55:52.172700928+00:00,1.0,1.0,3.0,EmittanceScan,32.0,ACQUIRING,-0.385171861636732,CROSSING,MIXED,0.020530774,-0.250420776,-0.020530774,0.250420776,EmittanceScan,0.0,-0.192585930818366,-0.0,0.192585930818366,1.0,10.0
1694094953.173326,2023-09-07 13:55:53.173326080+00:00,1.0,1.0,3.0,EmittanceScan,32.0,ACQUIRING,-0.385171861636732,CROSSING,MIXED,0.020530774,-0.250420776,-0.020530774,0.250420776,EmittanceScan,0.0,-0.192585930818366,-0.0,0.192585930818366,1.0,9.0
1694094954.174331,2023-09-07 13:55:54.174330880+00:00,1.0,1.0,3.0,EmittanceScan,32.0,ACQUIRING,-0.385171861636732,CROSSING,MIXED,0.020530774,-0.250420776,-0.020530774,0.250420776,EmittanceScan,0.0,-0.192585930818366,-0.0,0.192585930818366,1.0,8.0
1694094955.17521,2023-09-07 13:55:55.175209984+00:00,1.0,1.0,3.0,EmittanceScan,32.0,ACQUIRING,-0.385171861636732,CROSSING,MIXED,0.020530774,-0.250420776,-0.020530774,0.250420776,EmittanceScan,0.0,-0.192585930818366,-0.0,0.192585930818366,1.0,7.0
1694094956.17629,2023-09-07 13:55:56.176290048+00:00,1.0,1.0,3.0,EmittanceScan,32.0,ACQUIRING,-0.385171861636732,CROSSING,MIXED,0.020530774,-0.250420776,-0.020530774,0.250420776,EmittanceScan,0.0,-0.192585930818366,-0.0,0.192585930818366,1.0,6.0
1694094957.177423,2023-09-07 13:55:57.177423104+00:00,1.0,1.0,3.0,EmittanceScan,32.0,ACQUIRING,-0.385171861636732,CROSSING,MIXED,0.020530774,-0.250420776,-0.020530774,0.250420776,EmittanceScan,0.0,-0.192585930818366,-0.0,0.192585930818366,1.0,5.0
1694094958.178121,2023-09-07 13:55:58.178121216+00:00,1.0,1.0,3.0,EmittanceScan,32.0,ACQUIRING,-0.385171861636732,CROSSING,MIXED,0.020530774,-0.250420776,-0.020530774,0.250420776,EmittanceScan,0.0,-0.192585930818366,-0.0,0.192585930818366,1.0,4.0
1694094959.178961,2023-09-07 13:55:59.178961152+00:00,1.0,1.0,3.0,EmittanceScan,32.0,ACQUIRING,-0.385171861636732,CROSSING,MIXED,0.020530774,-0.250420776,-0.020530774,0.250420776,EmittanceScan,0.0,-0.192585930818366,-0.0,0.192585930818366,1.0,3.0
1694094960.1799831,2023-09-07 13:56:00.179983104+00:00,1.0,1.0,3.0,EmittanceScan,32.0,ACQUIRING,-0.385171861636732,CROSSING,MIXED,0.020530774,-0.250420776,-0.020530774,0.250420776,EmittanceScan,0.0,-0.192585930818366,-0.0,0.192585930818366,1.0,2.0
1694094961.181274,2023-09-07 13:56:01.181273856+00:00,1.0,1.0,3.0,EmittanceScan,32.0,ACQUIRING,-0.385171861636732,CROSSING,MIXED,0.020530774,-0.250420776,-0.020530774,0.250420776,EmittanceScan,0.0,-0.192585930818366,-0.0,0.192585930818366,1.0,1.0
1694094962.1822648,2023-09-07 13:56:02.182264832+00:00,0.0,1.0,3.0,EmittanceScan,32.0,TRIMMING,-0.385171861636732,CROSSING,MIXED,0.020530774,-0.250420776,-0.020530774,0.250420776,EmittanceScan,0.0,-0.192585930818366,-0.0,0.192585930818366,2.0,0.0
