datetime_start,datetime_end,timestamp_start,timestamp_end,Set_Nominal_Displacement_B1_xingPlane,Set_Nominal_Displacement_B2_xingPlane,Set_Nominal_Displacement_B1_sepPlane,Set_Nominal_Displacement_B2_sepPlane,Nominal_Separation
2023-09-29|05:42:21,2023-09-29|05:42:51,1695966141.485994,1695966171.536544,0.0,0.0,0.0,0.0,0.0
2023-09-29|05:43:07,2023-09-29|05:43:37,1695966187.153995,1695966217.180089,-0.0699264471350048,-0.0543872366605593,0.0,0.0,-0.0155392104744455
2023-09-29|05:43:56,2023-09-29|05:44:26,1695966236.4003792,1695966266.428478,-0.0543872366605593,-0.0388480261861138,0.0,0.0,-0.0155392104744455
2023-09-29|05:44:44,2023-09-29|05:45:14,1695966284.750762,1695966314.7742538,-0.0388480261861138,-0.0233088157116682,0.0,0.0,-0.0155392104744455
2023-09-29|05:45:33,2023-09-29|05:46:03,1695966333.695094,1695966363.728361,-0.0233088157116682,-0.0077696052372227,0.0,0.0,-0.0155392104744455
2023-09-29|05:46:22,2023-09-29|05:46:52,1695966382.349978,1695966412.376372,-0.0077696052372227,0.0077696052372227,0.0,0.0,-0.0155392104744455
2023-09-29|05:47:10,2023-09-29|05:47:40,1695966430.697722,1695966460.7223322,0.0077696052372227,0.0233088157116682,0.0,0.0,-0.0155392104744455
2023-09-29|05:47:59,2023-09-29|05:48:29,1695966479.343411,1695966509.372938,0.0233088157116682,0.0388480261861138,0.0,0.0,-0.0155392104744455
2023-09-29|05:48:48,2023-09-29|05:49:18,1695966528.293129,1695966558.319869,0.0388480261861138,0.0543872366605593,0.0,0.0,-0.0155392104744455
2023-09-29|05:49:36,2023-09-29|05:50:06,1695966576.7075431,1695966606.732618,0.0543872366605593,0.0699264471350048,0.0,0.0,-0.0155392104744455
2023-09-29|05:50:25,2023-09-29|05:50:55,1695966625.352031,1695966655.3791049,0.0699264471350048,0.0543872366605593,0.0,0.0,0.0155392104744455
2023-09-29|05:51:13,2023-09-29|05:51:43,1695966673.7007802,1695966703.7300131,0.0543872366605593,0.0388480261861138,0.0,0.0,0.0155392104744455
2023-09-29|05:52:02,2023-09-29|05:52:32,1695966722.351676,1695966752.3894749,0.0388480261861138,0.0233088157116682,0.0,0.0,0.0155392104744455
2023-09-29|05:52:50,2023-09-29|05:53:20,1695966770.710763,1695966800.751426,0.0233088157116682,0.0077696052372227,0.0,0.0,0.0155392104744455
2023-09-29|05:53:39,2023-09-29|05:54:09,1695966819.670859,1695966849.695036,0.0077696052372227,-0.0077696052372227,0.0,0.0,0.0155392104744455
2023-09-29|05:54:28,2023-09-29|05:54:58,1695966868.316631,1695966898.338537,-0.0077696052372227,-0.0233088157116682,0.0,0.0,0.0155392104744455
2023-09-29|05:55:16,2023-09-29|05:55:46,1695966916.657299,1695966946.682052,-0.0233088157116682,-0.0388480261861138,0.0,0.0,0.0155392104744455
2023-09-29|05:56:05,2023-09-29|05:56:35,1695966965.30215,1695966995.326986,-0.0388480261861138,-0.0543872366605593,0.0,0.0,0.0155392104744455
2023-09-29|05:56:53,2023-09-29|05:57:23,1695967013.645299,1695967043.69136,-0.0543872366605593,-0.0699264471350048,0.0,0.0,0.0155392104744455
2023-09-29|05:57:40,2023-09-29|05:58:10,1695967060.803631,1695967090.826217,-6.938893903907228e-18,0.0,0.0,0.0,-6.938893903907228e-18
